baseline_mae,baseline_model,condition_identifier,far_mae,model_seed,paired_mae_improvement_percent,reference_model,scope_identifier
1.5418704567926154,MS-GRU,temporal_tail_25pct_sensors_3steps,1.4220320879049055,71,7.772272200934214,FAR-GF-RC,horizon_3
1.822941506979959,MS-GRU,temporal_tail_25pct_sensors_3steps,1.7210330195719732,71,5.590332274391852,FAR-GF-RC,horizon_6
2.1655959390390795,MS-GRU,temporal_tail_25pct_sensors_3steps,2.022946384404787,71,6.587080815158406,FAR-GF-RC,horizon_12
1.9387512885484564,MS-GRU,temporal_tail_50pct_sensors_6steps,1.784149042444128,71,7.974320740236832,FAR-GF-RC,overall
1.7362382125286602,MS-GRU,temporal_tail_50pct_sensors_6steps,1.5672800924341668,71,9.731275286725923,FAR-GF-RC,horizon_3
1.9432006325489601,MS-GRU,temporal_tail_50pct_sensors_6steps,1.814359674606599,71,6.6303476740513485,FAR-GF-RC,horizon_6
2.2381836410399596,MS-GRU,temporal_tail_50pct_sensors_6steps,2.0939610527779364,71,6.4437334639355575,FAR-GF-RC,horizon_12
2.5631212180897425,MS-GRU,temporal_tail_75pct_sensors_12steps,2.2907740706340385,71,10.625605435028174,FAR-GF-RC,overall
2.5072270316399905,MS-GRU,temporal_tail_75pct_sensors_12steps,2.1628479634113407,71,13.735456098819645,FAR-GF-RC,horizon_3
2.5500370635375313,MS-GRU,temporal_tail_75pct_sensors_12steps,2.301882405484001,71,9.731413774405244,FAR-GF-RC,horizon_6
